referencia;designacao;localizacao
492594;DOB.PORTA PS27 20-23,5/105-39 CAST.;
492596;DOB.PORTA PS27 20-23,5/105-39 BRANCA;ES9P1
492600;DOB.PORTA PS27 20-23,5/105-42 CAST.;
492603;DOB.PORTA PS27 20-23,5/105-42 BRANCA;
492607;DOB.PORTA PS27 23-26,5/105-39 CAST.;
492608;DOB.PORTA PS27 23-26,5/105-39 BRANCA;
492610;DOB.PORTA PS27 23-26,5/105-42 CAST.;
492611;DOB.PORTA PS27 23-26,5/105-42 BRANCA;
492615;DOB.PORTA PS27 17-20,5/105-42 PRATA;FS1P6
492661;CONJº PARAFUSOS ELEVAT.PROFINE DEMIDOOR (KOMMERLING);CX6
492751;CREMONA OB C.FIXA NT T.B.25 481-600 NTS;
492752;CREMONA OB C.FIXA NT T.B.25 601-800 2E NTS;
492753;CREMONA OB C.FIXA NT T.B.25 801-1000 1E NTS;
492754;CREMONA OB C.FIXA NT T.B.25 1201-1400 2E NTS;
492755;CREMONA OB C.FIXA NT T.B.25 1401-1600 2E NTS;
492756;CREMONA OB C.FIXA NT T.B.25 1601-1800 2E NTS;
492757;BRAÇO P/ COMPASSO LIMITADOR DE ABERTURA COM FIXAÇAO;
492872;FECHADURA BICO DE PAPAGAIO H500 35/92 2200 MM;
492873;FECHADURA 1 PONTO 240 MM 25/92 24 CHAPA LISA;
493029;FECHADURA ROLETES 4V H500 35/92 1750-2800 C/SERRILHA;ES10P6
493235;GUIA INFERIOR ARO P/ OP S/Z 4-150/180 6070 PRETO;
493236;GUIA SUPERIOR FOLHA P/ OP ALU 5970 MM PRETO;
493237;PERFIL DE RECUB. ALU 150 S - PRETO 6MTS;
493238;CONJº ACESS. P/JOGO DE RODAS ALU540 - PRETO;
493270;PERFIL RECUB. GUIA INF.3000 MM PRATA PLF;A2.A1.P1
493271;PERFIL RECUB. GUIA INF.3500MM PRATA PLF;
493272;PERFIL RECUB. GUIA INF.4000MM PRATA PLF;
493273;PERFIL RECUB. GUIA INF.4500MM PRATA PLF;
493275;DOB.PORTA PS23 14-17.5/85-31 PRATA;
493277;DOB.PORTA PS23 20-23.5/85-31 BRANCO;
493295;PERFIL RECUB. GUIA INF.6500MM PRATA PLF;
493297;PERFIL GUIA SUPERIOR 3500 MM PATIO LIFE;
493298;PERFIL GUIA SUPERIOR 4500 MM PATIO LIFE;
493299;PERFIL GUIA SUPERIOR 5500 MM PATIO LIFE;
493300;PERFIL GUIA SUPERIOR 6500 MM PATIO LIFE;
493303;SOLEIRA PRATA 3000 MM PLF REHAU;A2.A1.P1
493304;SOLEIRA PRATA 3500 MM PLF REHAU;
493305;SOLEIRA PRATA 4000 MM PLF REHAU;
493306;SOLEIRA PRATA 4500 MM PLF REHAU;
493307;SOLEIRA PRATA 5500 MM PLF REHAU;
493308;SOLEIRA PRATA 6500 MM PLF REHAU;
493313;PERFIL ESTRUURA PRATA 1750 MM PLF;
493314;PERFIL ESTROTURA PRATA 3500 MM PLF;
493316;CAPA ALU. P/ PERFIL ESTROTURA PRATA 1750 MM PLF;
493317;CAPA ALU. P/ PERFIL ESTROTURA PRATA 3500 MM PLF;
493319;CAPA 1600MM PRATA REHAU PLF;
493320;CAPA 3200MM PRATA REHAU PLF;
493322;PERFIL ADAPTAÇAO 1750 MM PRATA PLF;
493323;PERFIL ADAPTAÇAO 3500 MM PRATA PLF;
493343;DOB.INFERIOR DO ARO E5 ESQ NT - BRANCO;
493344;DOB.INFERIOR DO ARO E5 DTº NT - BRANCO;
493348;ADAPTADOR P/ CREMONA T.B. NEGATIVA NT;A3.OB1
493371;GUIADORES SUPERIORES INDIVIDUAIS PATIO LIFE;
493426;ELEM.FECHO BASC. ARO NX DECEUNINCK TF DTº;CS9P3
493433;CAPA COMPASSO REDONDO PRETO;
493434;CAPA PARA SUPORTE DE COMPASSO REDONDO PRETA;
493494;CONJº ACESS. P/ MADEIRA 68 MM ESQ. ESQUEMA A PLF;
493496;PEÇA ADICIONAL P/ MADEIRA 68MM ESQUEMA C;
493499;CAPA PARA COMPASSO TITAN;
493505;CAPA PARA DOBRADIÇA INFERIOR FOLHA ALU/NT PRETA ESQ.;CS6P1
493507;CAPA PARA DOBRADIÇA INFERIOR FOLHA ALU/NT PRETA DTº.;CS6P1
493547;ELEM.FECHO BASC. ARO NX DECEUNINCK TF ESQº;DS8P4
493554;PROLONGADOR P/FECH.C500 C/SERR.1845-3035 1 PF V;
493581;CHAPA TESTAS ALPHACAN  ESQ. SILV.;
493591;CREMONA T.B.30MM ALU ESQ.;
493592;TIRANTE P/ CREMONA 7/8 200 MM NT;
493790;CREMONA 2ª FOLHA P/FECHAD.BICO PAPAGAIO 2400MM ESQª;
493796;CREMONA 2ª FOLHA P/FECHAD.BICO PAPAGAIO 2230MM ESQª;
493797;CREMONA 2ª FOLHA P/FECHAD.BICO PAPAGAIO 2230MM DTº;BS11P2
493802;PEÇA LIGAÇAO CREM.2ªFOLHA ESQº;ES10P8
493803;PEÇA LIGAÇAO CREM.2ªFOLHA DTº;BS11P1
493818;CREM.2ªFOLHA P/PORTA C/FECHO RECTO ESQª;
493819;CREM.2ªFOLHA P/PORTA C/FECHO RECTO DTª;
493839;ELEMENTO FECHO BASCULANTE TF INOUTIC;
493852;CHAPA TESTAS ALPHACAN DTº;
493855;CHAPA TESTAS AUTOMATICO ALPHACAN;
493883;CREMONA 2ª FOLHA C.FIXA 601-800 NT;
493897;MANETE EMBUTIDA ROTOLINE 26MM RAL R01.1 PRATA;DS9P4
493898;MANETE EMBUTIDA ROTOLINE PRETA;DS10P3
493899;GANCHO DUO SIL H008;
493905;CREMONA 2ª FOLHA C.FIXA 1001-1200 NT;
493907;CREMONA 2ª FOLHA C.FIXA 1401-1600 NT;
493916;ELEM. FECHO ARO TURN PLUS ESQº NT;DS3P3
493917;ELEM. FECHO ARO TURN PLUS DTº NT;
493922;ELEM.FECHO TURN PLUS 200MM NT;DS3P3
493923;ELEM.FECHO TURN PLUS;DS3P3
493929;DOB. PORTA PS27 17-20,5/105-42 PRETO;
494014;MANETE ROTOLINE SECUSTIK PRETO 32MM;DS10P2
494225;ELEM. FECHO ARO MADEIRA PLF;
494389;COMPASSO BASCULANTE NT P/CANAL FERRAGEM;CS10P2
494418;DOBRADIÇA ARO PARA PORTADA (217-276/136-165) PRETA;
494447;MANETE ROTOLINE PRATA PLF;
494448;MANETE ROTOLINE BRONZE PLF;CS15P3
494449;MANETE ROTOLINE BRANCO PLF;
494450;MANETE ROTOLINE C/CHAVE PRATA PLF;
494451;MANETE ROTOLINE C/CHAVE BRONZE PLF;
494452;MANETE ROTOLINE C/CHAVE BRANCA PLF;
494453;MANETE ROTOLINE EXTERIOR PRATA PLF;
494454;MANETE ROTOLINE C/CHAVE BRONZE C/ENT. CIL PLF;
494466;ROSETA INTERIOR PRATA PLF;
494467;ROSETA INTERIOR BRONZE PLF;
494469;CONCHA EMBUTIDA 63 MM PRATA PLF;CACIFOP4
494470;CONCHA EMBUTIDA 63 MM BRONZE PLF;
494471;CONCHA EMBUTIDA 63 MM BRANCA PLF;
494472;CONCHA EMBUTIDA 43 MM PRATA PLF;
494474;CONCHA EMBUTIDA 43 MM BRANC PLF;
494475;MANETE ROTOLINE OP Z PRATA;CS15P3
494476;MANILLA R-LINE 35MM R01.2 PATIOZ;
494477;MANETE ROTOLINE OP Z TITAN;CS15P3
494479;MANETE ROTOLINE OP Z CASTANHA;CS15P3
494480;MANETE ROTOLINE OP Z BRANCA;CS13P3
494481;MANETE ROTOLINE OP Z C/CHAVE 35MM PRATA;CS15P3
494483;MANETE ROTOLINE OP Z C/CHAVE 35MM TITAN;
494485;MANETE ROTOLINE OP Z C/CHAVE 35MM CASTANHO;
494486;MANETE ROTOLINE OP Z C/CHAVE 35MM BRANCA;CS15P3
494487;MANETE ROTOLINE OP Z C/ENT.CIL.PRATA;CS15P3
494489;MANETE ROTOLINE OP Z C/ENT.CIL.CASTANHO;
494490;MANETE ROTOLINE OP Z C/ENT.CIL.BRANCO;CS15P3
494537;FECHADURA ELECT. ENEO C 35/92 BICO PAPAGAIO ESQ.;
494538;FECHADURA ELECT. ENEO C 35/92 BICO PAPAGAIO DTª;
494596;FECHADURA ELECT. ENEO C 65/92 BICO PAPAGAIO ESQ-C/COM;
494597;FECHADURA ELECT. ENEO C 65/92 BICO PAPAGAIO DIR-C/COM;ES5P8
494598;FECHADURA ELECT. ENEO C 35/92 BICO PAPAGAIO ESQ-C/COM;
494599;FECHADURA ELECT. ENEO C 35/92 BICO PAPAGAIO DIR-C/COM;
494600;FECHADURA ELECT. ENEO C 45/92 BICO PAPAGAIO ESQ-C/COM;
494601;FECHADURA ELECT. ENEO C 45/92 BICO PAPAGAIO DIR-C/COM;
494622;DOB. PORTA PS23 17-20,5/85-34 C/ESPECIAL;
494636;FECHADURA 1 PONTO 240 MM 25/92 22 CHAPA LISA;
494670;MANETE EMBUTIDA ROTOLINE RAL ESPECIAL;DS9P3
494783;CAPA PARA DOBRADIÇA FOLHA 12/20/9 A BRANCA NT-ALU ESQ;
494784;CAPA PARA DOBRADIÇA FOLHA 12/20/9 A BRANCA NT-ALU DIR;
494798;COMANDO A DISTANCIA ENEO 1 CANAL CC-C;
494799;DISPOSITIVO DE LIGAÇAO PARA CABO ENCAIXE  ENEO, 180º;
494801;ENCAIXE PARA FECHADURA ENEO 3 POLOS (VERDE E PRETO);A3.OB1
494937;ELEM.FECHO LATERAL ALU NT 13 MM;CS1P2
494938;ELEM.FECHO BASC. ARO. ALU NT 13MM;CS1P2
494940;CALHA FECHO P/PASSADOR 2 FUROS ALU NT 13MM;F5P4
494941;CLICK DO ARO ALU NT 13MM;CS6P6
494942;MEC.FALSA MANOBRA ARO ALU NT 13 MM;CS1P2
494943;DOBRADIÇA INTERMEDIA OCULTA ARO ALU NT 13MM;CS3P1
494971;CONJº CARROS ESQUEMA A PLF;
494972;CONJº CARROS ESQUEMA C PLF;OB PAL 4
494973;ADAPTADOR CREMONA 2600 MM PLF;ES8P3
495006;CONJUNTO TAMPAS GUIA DE CHAO REHAU;
495007;CONJº ACESS. ESTANQ. GUIA ARO SUP. PLF;
495008;CONJUNTO DE TAMPAS P/REHAU;
495009;CONJUNTO TAMPAS PERFIL ESTR. REHAU;
495010;BITOLA P/ GUIA DE SOLEIRA PLF;
495011;CONJº ACESS. MAD. 68/28MM ESQUEMA D;DS7P4
495029;DOB. FOLHA CANAL A 12/18-13 ESQ ALU NT;
495040;DOBRADIÇA FOLHA DIREITA ALU T600;ES10P8
495041;DOBRADIÇA FOLHA ESQUERDA ALU T600;
495042;GUIA COMPASSO 735 ALU T600;
495043;GUIA COMPASSO 500 ALU T600;
495044;DOBRADIÇA ARO DIREITA ALU T600;ES10P8
495096;CALÇO  TB NEGATIVA 3.3MM RAL 7004 NT;CXOB1
495115;DOBRADIÇA ARO ESQUERDA ALU T600;
495116;COMPASSO 735 DIREITO GR2 ALU T600;CX6
495117;COMPASSO 735 ESQUERDO GR2 ALU T600;CX6
495118;COMPASSO 500 DIREITO GR2 ALU T600;
495119;COMPASSO 500 ESQUERDO GR2 ALU T600;CX6
495316;DOB.INFERIOR FOLHA 12/20/9 ALU-NT ESQ.;PAL 1
495317;DOB.INFERIOR FOLHA 12/20/9 ALU-NT DTª;
495318;DOBRADIÇA INFERIOR DA FOLHA ESQ. 12/20/13 - ALU/NT;PAL 1
495319;DOBRADIÇA INFERIOR DA FOLHA DTª. 12/20/13 - ALU/NT;
496017;ELEM.FECHO BASC.INF.ARO REHAU S 980 GENEO NX DTº;C1P3
496018;ELEM.FECHO BASC.INF.ARO REHAU S 980 GENEO NX ESQº;DS1P6
496019;ELEMENTO FECHO LATERAL SEGURANÇA REHAU GENEO;CX 9
496779;ELEMENTO FECHO BASCULANTE 9MM P/ SOLEIRA BKV;DS7P3
498312;CALÇO  TB NEGATIVA 2.3MM RAL 7004 NT;A2 CX11
498317;DOBRADIÇA INF.FOLHA ESQ. NT E5 12/18/9;DS1P1
498318;DOBRADIÇA INF.FOLHA DTª NT E5 12/18/9;
498319;DOB.INFERIOR FOLHA ESQ. NT;
498320;DOB.INFERIOR FOLHA DTA. NT;DS6P1
498716;ACESSORIOS DE MADEIRA 68 MM DTº. ESQUEMA A P LIFE;
498746;MANETE ROTO LINE SECUSTIK 24 MM - TITAN;CX 4
498975;ELEM. FECHO  LATERAL  NR.357 NT;
499157;CONJ. MANETE P/ELEVADORA CASTANHA;
499158;FECHADURA AUTOMATICA C600 35/92/16  1500-1900MM;ES4P3
499161;BARRA UNIAO HORIZONTAL ELEVADORA 1501-2000 MM;
499162;BARRA UNIAO HORIZONTAL ELEVADORA 2001-2500 MM;
499164;BARRA UNIAO HORIZONTAL ELEVADORA 2501-3235 MM;
499177;CONJT.ACESSORIOS  ELEVADORA.ESQ.A/K  ALUPLAST BRANCO;CX6
499561;GUIA PARA SOLEIRA P/ELEVADORA 3500 MM;
499564;PERFIL SOBREPOSTO ELEVADORA 3500 MM;
499675;PERFIL SOBREPOSTO ELEVADORA 6500 MM;
499677;CONJTº ACESSORIOS ELEVADORA ESQ.A REHAU;CX6
499683;CONTº PARAFUSOS ELEVADORA REHAU;CX6
499745;CONJ.ACC.ELEVADORA ESQ. A PROFINE DEMIDOOR (KOM);
499747;BITOLA PERF. ESTRUCTURA PLF;
499832;CONJ.PARAFUSOS ELEV.PROFINE DEMIDOOR (KOMMERLING);
4CA87AR14160-LF;BITOLA EM MADEIRA P/DOBRADIÇA EXATA C/RESS.;S/ STOCK
500278;VEDANTE P/ ELEVAT. 3500MM VEKA TOPLINE;
500358;VEDANTE P/ ELEVAT. 5500 MM VEKA TOPLINE;
500359;VEDANTE P/ ELEVAT. 6500 MM  VEKA;
500360;CONJº PARAFUSOS ELEVAT. VEKA TOPLINE;CX6
500361;CONJº ACESS.ELEVAT. ESQ.A - SCHUCO CORONA CT 70;CX6
501397;MANETE DOORFORM INT. / EXT.(REBAIX.)CAST.;DS5P4
501513;CONJº PARAFUSOS ELEVAT. - SCHUCO CORONA CT 70;CX6
501514;GUIA 28 SOLEIRA ELEVAT. 3000 MM REHAU;
501515;VEDANTE P/ ELEVAT. 3500 MM REHAU;
501516;GUIA 28 SOLEIRA ELEVAT. 4000 MM REHAU;
501517;VEDANTE P/ ELEVAT. 4500 MM REHAU B.DESIGN;
501518;VEDANTE P/ ELEVAT. 5500 MM REHAU BRILLANT DESIGN HS;
501519;GUIA 28 SOLEIRA ELEVAT. 6500 MM REHAU;ES6P8
501532;CONJº ACESS. ELEVAT. ESQ.A VEKA TOPLINE;
501549;BITOLA P/SOLEIRA ALUMINIO REHAU - HAUTAU;
501821;ELEM. FECHO CORRER ALUPLAST S80 SL IS;
501822;VEDANTE DE ESTANQUICIDADE INFERIOR;
502016;COMPASSO DE CANAL DTº. ALU T600;CX6
502017;COMPASSO DE CANAL ESQ. ALU T600;CX6
502024;CREMONA OB C.V. TB 8 NT 621-800 1V;BS3P2
502042;JOGO DE VEDANTES P/MADEIRA PRATA;ES9P1
502075;CREMONA OB C.V. AG.8 NT 801-1200 1 V;BS3P2
502076;CREMONA OB C.V. TB 8 NT 1201-1600 2 V;BS3P2
502077;CREMONA OB C.V. TB 8 NT 1601-2000 2 V;
502078;CREMONA OB C.V. TB 8 NT 2001-2400 4 V;
502145;VEDANTE DE SILICONE P/ ELEVAT. 3500 MM;
502146;VEDANTE DE SILICONE P/ ELEVAT. 6500 MM;CX5
502278;FIXAÇÃO DA SOLEIRA (6 PEÇAS) REHAU;
502279;VEDANTE VERTICAL INTERMEDIA 50M. PLF REHAU;
502280;JUNTA VERTICAL PRATA;
502336;GUIA COMPASSSO GR2 KPL. 701 TF ALU T600;
502337;GUIA COMPASSO GR1 KPL. 465 TF ALU T600;
502340;BASE FALSO COMPASSO DESIGNO  ALU;
502344;CONJº ACESS. ELEVAT. ESQ. A VEKA;
502366;KIT TOPOS E ACC. ELEVAT.ESQ.C VEKA TOPLINE;CX6
502526;MANETE R-LINE 40MM R01.1 PATIOZ;
502530;MANETE R-LINE 40MM R05.4 PATIOZ;
502758;CONJº LIMITADOR DE ABERTURA ALU T600;
502759;CONJº DOBRADIÇA OCULTA DESIGNO V.01 ALU;PAL 1
502795;CONJº 130 KG ALU T600 DIR.;ES10P8
502796;CONJº 130 KG ALU T600 ESQ.;
502834;LIMITADOR COMPASSO DESIGNO   ALU;
502835;ELEM. FECH. LATERAL BASICO K.N247 NT;
5126C;CREMONE ELEVAVEL PRATA;
513513;PEÇA LIGAÇAO CREM.2ªFOLHA PORTA H/0/U24/132 ESQª;
513514;PEÇA LIGAÇAO CREM.2ªFOLHA PORTA H/0/U24/132 DTª;OB PAL 4
513612;ELEM. FECH. SEG. ADICIONAL MAD.68/56 P.LIFE;
513619;PERFIL METEOR. 6500 MM - PRATA;
513639;CALÇO DO ARO 9,5 PARA DOBRADIÇA C7.140 SOLID C;
519187H;QUADRA 8MM P/MANETE DE PORTA 130 MM;DS3P3
523871;ACOPLADOR ANGULAR SUP. ESQ. SST FENTRO;
523872;ACOPLADOR ANGULAR SUP. DIR. SST FENTRO;
523873;ACOPLADOR ANGULAR INF. ESQ. SST FENTRO;
523874;ACOPLADOR ANGULAR INF. DIR. SST FENTRO;
525030;ELEM. FECH. INF. BASC. NR352 NT;
525031;ELEM. FECH. LATERAL NR352 NT;
525033;ACC. PATIO LIFE REHAU SQ. A ESQ.;
525034;ACC. PATIO LIFE REHAU SQ. A DIR.;
53199G;VARAO 12 MM PARA COMANDO MANUAL GEZE OL 320;GEZE P2
532873;ELEM. FECH. LATERAL BASICO H.24MM NT;
533058;BITOLA ELEM. FECH. CENTRAL PATIO LIFE;
534447;ELEM.FECHO BASC.PATIO 4-180Z NT DECEUNINCK;
534450;ELEM. FECH. BASC. AÇO NR352 NT;
534666;ELEMENTO FECHO ARO MADEIRA - PATIO LIFE;CS12P3
534670;ROLETE PARA CLICK DE RETENÇAO PARA CREMONA 2ª FOLHA NX;
534673;BITOLA MANETE/TIRADOR PATIO LIFE;
534780;ELEM. FECH. DUO SIL K004 B;
534794;BITOLA ELEM. FECH. ELEVADORA;
534853;ELEM. FECH. SEG. NR352 NT;
534924;CONJTº ACESS. ELEVADORA ALUMINIO;CX8
534929;ELEMENTO FECHO BASCULANTE P/ SOLEIRA BKV;
534939;RODA PVC 20,5X125 ALTXAN.140KG TANDEM G;
534941;RODA PVC 39X141 ALTXAN.280KG TANDEM G.;
534995;BOLSA SUPLEMENTOS ALUMIL ALU HS;
534996;CONJº ELEM. FECH. PRETO ALUMIL M ALU HS;
534997;ELEM. FECH. SEG. ALUMIL ALU HS;
534998;BOLSA C/PARAFUSOS ALUMIL HS300 ELEV.;CX6
534999;ELEMENTO FECHO INFERIOR ALU-HS;
535000;CONJº ELEMENTOS FECHO ELEVAD. CORTIZO;CX6
535001;ELEMENTO FECHO VENTILAÇÃO CORTIZO;CX5
535002;CONJTº PARAFUSOS ELEVAT. CORTIZO HS300;
535003;CONJº ELEM. FECH. REYNAERS CP155 ALU HS;
535004;ELEM. FECH. SEG. REYN. CP155 ALU HS;DS6P4
535005;LISTON DE CIERRE SUPERIOR PATIO LIFE C;
535006;PEÇA ADICIONAL ESQUEMA C 600 MM;
535007;PEÇA ADICIONAL ESQUEMA C 1994 MM;ES5P8
535013;DOBRADIÇA 3ª FOLHA / FOLHA DESIGNO II NT ESQª;
535014;DOBRADIÇA 3ª FOLHA / FOLHA DESIGNO II NT DTª;
535015;CONJTº PARAFUSOS ELEVAT. SAPA/REYN/HEROAL HS300;
535016;CONJº ELEM. FECH. ESQUEMA C REYN. CP155 ALU HS;
535017;ELEM. FECH. SEG. ESQ. C REYN. ALU HS;
535018;ELEMENTO FECHO VENTILAÇÃO ELEVADORA;CX5
535019;CONJº ELEM.FECHO ESQ.C REY.TLS110;
535020;CONJº ELEM.FECHO SEG. ESQ.C REY. TLS110;CX6
535021;SUPLEMENTO DE CREMONAS E RODAS EXTRUGAL;
535022;CONJTº SUPLEMENTOS REYNAERS CP 155 ALU HS;
535023;CALÇO P/FECHO ELEV.;CX6
535024;CONJTº ACC. TOPO BRANCO P.LIFE;
535045;CONJº ELEM. FECH. ELEVAT. EXTRUGAL;
535046;ELEM. FECH. SEG. EXTRUGAL;
535047;CONJº PARAFUSOS ELEVADORA;
535048;ELEM. FECH SEG. EXAL ALU HS;
535049;CONJTº PARAFUSOS ELEVAT. EXAL HS300;
535050;CONJTº SUPLEMENTOS GALIPAN ALU HS;
535051;CONJº PARAFUSOS ELEVAT.;CX6
535088;BITOLA ZONA MEDIA INFERIOR PLF REHAU;
535092;CALHA DESLIZADORA 211 MM P/DOBRADIÇA 3ª FOLHA;
535285;CHAVE AFINAÇAO DOB PS 23 / 27;DS2P4
535341;CAPA FALSO COMPASSO TITAN R01.3;
535342;CAPA FALSO COMPASSO DOURADO R03.1;
535357;ELEM. FECH. SEG. GALISUR ALU HS;
535358;CONJTº ACC. SAPA/LAMINEX ALU HS;
535359;ELEM. FECH. SEG. SCHW. ALU HS;
535361;CONJTº ACESS. GALISUR ALU HS;
535363;CONJTº PARAFUSOS DECEUNINCK;
535364;CONJTº ACESS. ESQ.A DECEUNINCK;
535465;MANETE EMBUTIDA ROTOLINE BRANCA RAL 9016;
535466;MANETE EMBUTIDA ROTOLINE PRETA RAL 9005;
535468;CLICK MAGNETICO FOLHA 13MM NT;A2 CX13
536358;ELEM. FECH. CENTRAL AS384 SIL ESQ.;
536359;ELEM. FECH. CENTRAL AS384 SIL DIR.;
536360;ELEM. FECH. GANCHO AS384 ROTOSIL;
536361;ELEM. FECH. IMAN REGULAVEL ENEO AS384;
536462;CHAPA TESTAS SEG.EXTRA ALU ESQ;
536463;CHAPA TESTAS SEG.EXTRA ALU DTº;
538277;CALÇO GL-SV 100X42X5 VERDE  RGB;
538328;CALÇO VIDRO GL-SV 100X20X1 BRANCO;A2.C.4.1
538330;CALÇO VIDRO GL-SV 100X20X2 AZUL;A2.C.4.1
538336;CALÇO VIDRO GL-SV 100X22X1 BRANCO;A2.C.2.1
538339;CALÇO VIDRO GL-SV 100X22X2 AZUL;A2.C.2.1
538347;CALÇO GL-SV 100X24X1 BRANCO RGB;A2.C.2.1
538350;CALÇO GL-SV 100X24X2 AZUL RGB;A2.C.2.1
538358;CALÇO GL-SV 100X26X1 BRANCO RGB;A2.C.3.1
538361;CALÇO GL-SV 100X26X2 AZUL RGB;A2.C.3.1
538362;CALÇO GL-SV 100X26X2 AZUL RGB;A2.C.3.1
538376;CALÇO GL-SV 100X28X1 BRANCO RGB;
538378;CALÇO GL-SV 100X28X2 AZUL RGB;A2.BS8.P2
538385;CALÇO VIDRO GL-SV 100X30X1 BRANCO;A2.C.3.2
538388;CALÇO VIDRO GL-SV 100X30X2 AZUL;A2.C.2.2
538395;CALÇO VIDRO GL-SV 100X32X1 BRANCO;A2.C.2.2
538397;CALÇO VIDRO GL-SV 100X32X2 AZUL;A2.C.2.2
538403;CALÇO GL-SV 100X34X1 BRANCO RGB;A2.C.1.2
538405;CALÇO GL-SV 100X34X2 AZUL RGB;A2.C.1.2
538411;CALÇO GL-SV 100X36X1 BRANCO RGB;A2.C.1.3
538412;CALÇO GL-SV 100X36X2 AZUL RGB;A2.C.1.3
538418;CALÇO GL-SV 100X40X1 BRANCO RGB;A2.C.2.3
538420;CALÇO GL-SV 100X40X2 AZUL  RGB;A2.C.2.3
538425;CALÇO GL-SV 100X46X2 AZUL  RGB;A2.C3.3
538447;PRE CALÇO GFE KÖMMERLING EUROFUTUR CLASSIC;A2.C.4.3
538468;ESPATULA P/VIDRO EM MADEIRA;
538469;ESPATULA P/VIDRO C/CABO DE MADEIRA;DS9P4
538471;ESPATULA P/VIDRO EM PVC;C3P2
538487;CALÇO VIDRO GL-B 100X24X4 AMARELO;DS8P3
538492;CALÇO VIDRO GL-B 100X26X3 VERMELHO;DS8P3
538493;CALÇO VIDRO GL-B 100X26X4 AMARELO;DS8P3
538495;CALÇO VIDRO GL-B 100X26X6 PRETO;
538586;TAPA FURO 12 X 8.4 X 16 - BRANCO;A2.BS8.P3
538588;TAPA FURO 12 X 8.4 X 16 - PRETO;A2.BS8.P3
538598;TAPA FURO 12 X 8.4 X 16 - CASTANHO;
538706;GOTEIRA 5 X 25 X 11 - VERDE 6005;A2.
538743;GOTEIRA 5 X 25 X 11 - BRANCA;A2.
538745;GOTEIRA 5 X 25 X 11 - CASTANHA;A2.
538792;CALÇO MONTAGEM OBRA TIPO 2 50X50X1 BRANCO;A2.
538794;CALÇO MONTAGEM OBRA TIPO 2 50X50X2 AZUL;A2.
538796;CALÇO MONTAGEM OBRA TIPO 2 50X50X3 VERMELHO;A2.
538798;CALÇO MONTAGEM OBRA TIPO 2 50X50X4 AMARELO;A2 C 43
538800;CALÇO MONTAGEM OBRA TIPO 2 50X50X5 VERDE;A2 C 43
538808;CALÇO MONTAGEM OBRA TIPO 2 65X52,5X1 BRANCO;A2.
538809;CALÇO MONTAGEM OBRA TIPO 2 65X52,5X2 AZUL;A2.
538817;CALÇO MONTAGEM OBRA TIPO 2 65X52,5X10 CASTANHO;A2.
538818;CALÇO MONTAGEM OBRA TIPO 2 50X50X1 BRANCO;
538819;CALÇO MONTAGEM OBRA TIPO 2 80X34X2 AZUL;
538820;CALÇO MONTAGEM OBRA TIPO 2 80X34X3 VERMELHO;
538821;CALÇO MONTAGEM OBRA TIPO 2 80X34X4 AMARELO;
538822;CALÇO MONTAGEM OBRA TIPO 2 80X34X5 VERDE;
539111;CHAVE OBRA;OB PAL 4
539255;CONCHA/PUXADOR EXTERIOR PARA JANELA BRANCA;C4P2
539394;PRE CALÇO GFE DECEUNINK ZENDOW 3000;
539418;CALÇO  GL-SV 100X20X3 VERMELHO;A2.C.4.1
539420;CALÇO  GL-SV 100X20X4 AMARELO;A2.C.4.1
539422;CALÇO  GL-SV 100X20X5 VERDE;A2.C.4.1
539424;CALÇO  GL-SV 100X20X6 PRETO;A2.C.4.1
539426;CALÇO VIDRO GL-SV 100X22X3 VERMELHO RGB;A2.C.4.1
539429;CALÇO GL-SV 100X22X4 AMARELO RGB;A2.C.2.1
539432;CALÇO VIDRO GL-SV 100X22X5 VERDE RGB;A2.C.2.1
539435;CALÇO GL-SV 100X22X6 PRETO RGB;A2.C.2.1
539438;CALÇO GL-SV 100X24X3 VERMELHO RGB;A2.C.2.1
539441;CALÇO GL-SV 100X24X4 AMARELO RGB;A2.C.3.1
539444;CALÇO GL-SV 100X24X5 VERDE RGB;A2.C.4.2
539447;CALÇO GL-SV 100X24X6 PRETO RGB;
539450;CALÇO GL-SV 100X26X3 VERMELHO RGB;A2.C.3.1
539453;CALÇO GL-SV 100X26X4 AMARELO RGB;A2.C.3.1
539456;CALÇO GL-SV 100X26X5 VERDE RGB;A2.C.3.1
539459;CALÇO GL-SV 100X26X6 PRETO RGB;A2.C.3.1
539462;CALÇO GL-SV 100X28X3 VERMELHO RGB;A2.C.3.2
539464;CALÇO GL-SV 100X28X4 AMARELO RGB;A2.C.3.2
539466;CALÇO GL-SV 100X28X5 VERDE RGB;A2.C.3.2
539468;CALÇO GL-SV 100X28X6 PRETO RGB;
539470;CALÇO VIDRO GL-SV 100X30X3 VERMELHO;A2.C.2.2
539472;CALÇO VIDRO GL-SV 100X30X4 AMARELO;A2.C.2.2
539474;CALÇO VIDRO GL-SV 100X30X5 VERDE;A2.C.2.2
539476;CALÇO VIDRO GL-SV 100X30X6 PRETO;A2.C.2.2
539478;CALÇO VIDRO GL-SV 100X32X3 VERMELHO;A2.C.2.2
539480;CALÇO VIDRO GL-SV 100X32X4 AMARELO;A2.C.2.2
539482;CALÇO VIDRO GL-SV 100X32X5 VERDE;A2.C.1.2
